angulo,segmento,headline,primary_text,descricao,cta,lp_url
resultado,geral,Remissão da diabetes em 12 semanas,"Hemoglobina glicada de 11.5 → 5.8 em doze semanas. Isso não é propaganda. É o exame de um paciente real do Método DM2. Um protocolo de doze semanas com sessões semanais, suplementação própria do método e acompanhamento de perto. A remissão da diabetes tipo 2 é possível. E você pode ver nos seus próprios exames.",Resultado comprovado em exames,Quero ver meus exames mudarem,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
resultado,geral,De 11.5 de glicada pra remissão,Hemoglobina glicada de 11.5 → 5.8 em doze semanas. Isso não é propaganda. É o exame de um paciente real do Método DM2. A remissão da diabetes tipo 2 é possível. E você pode ver nos seus próprios exames.,Protocolo de 12 semanas,Comece suas 12 semanas,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
resultado,geral,E se você pudesse viver sem diabetes?,"""Eu acordava destruída todo dia. Achava que era assim mesmo."" Depois de 3 semanas no Método DM2, o cansaço começou a ir embora. Em doze semanas, meus exames mostraram o que eu já sentia: meu corpo estava se recuperando. Se você sente que perdeu sua energia, talvez não seja idade. Talvez seja a diabetes.",Remissão da diabetes tipo 2,Descubra se o método é pra você,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
resultado,geral,Voltei a ter energia pra viver,"""Eu acordava destruída todo dia. Achava que era assim mesmo."" Depois de 3 semanas no Método DM2, o cansaço começou a ir embora. Em doze semanas, meus exames mostraram o que eu já sentia: meu corpo estava se recuperando.",50+ unidades no Brasil,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
resultado,geral,Meus exames provam: é possível,Quanto tempo faz que você toma Metformina? 2 anos? 5? 10? A dose aumenta. Adicionam outro remédio. E os sintomas continuam. O Método DM2 não substitui seu médico. Ele complementa com um protocolo de doze semanas que ataca a causa. Muitos pacientes reduzem medicação — com aval médico e prova nos exames.,Método exclusivo DM2,Veja como funciona a remissão,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
resultado,geral,Sem insulina há 6 meses,Quanto tempo faz que você toma Metformina? 2 anos? 5? 10? A dose aumenta. Adicionam outro remédio. E os sintomas continuam. O Método DM2 complementa com um protocolo de doze semanas que ataca a causa. Muitos pacientes reduzem medicação — com aval médico e prova nos exames.,Acompanhamento semanal,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
urgencia,geral,Diabetes avança em silêncio,"Seu médico disse que tá controlado. Glicada em 7. ""Tá bom assim."" Mas o cansaço continua. O formigamento continua. As dores continuam. Porque controlar a glicose não é tratar a diabetes. A diabetes tipo 2 é uma doença metabólica. Enquanto você só controla o número, ela avança nos nervos, na circulação, no fígado. O Método DM2 trata na raiz. doze semanas. resultado que aparece nos exames.",Resultado comprovado em exames,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
urgencia,geral,Controlar não é a mesma coisa que tratar,"Seu médico disse que tá controlado. Glicada em 7. ""Tá bom assim."" Mas o cansaço continua. O formigamento continua. As dores continuam. Porque controlar a glicose não é tratar a diabetes. O Método DM2 trata na raiz. doze semanas.",Remissão da diabetes tipo 2,Veja como funciona a remissão,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
urgencia,geral,Você tá controlando ou deixando avançar?,"A diabetes tipo 2 não dói — no início. Por isso é perigosa. Quando o formigamento vira dormência permanente. Quando a vista embaçada não volta ao normal. Quando o cansaço vira incapacidade. Não espere chegar lá. O Método DM2 é um protocolo de doze semanas pra buscar a remissão agora, enquanto é possível.",Protocolo de 12 semanas,Fale com um especialista DM2,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
urgencia,geral,Remédio segura. Não resolve.,A diabetes tipo 2 não dói — no início. Por isso é perigosa. Quando o formigamento vira dormência permanente. Quando a vista embaçada não volta ao normal. Não espere chegar lá. O Método DM2 é um protocolo de doze semanas pra buscar a remissão agora.,Método exclusivo DM2,Comece suas 12 semanas,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
curiosidade,geral,O que seu pâncreas precisa de verdade,"Seu pâncreas ainda funciona. Mas está inflamado, sobrecarregado e intoxicado. A diabetes tipo 2 não é uma sentença. É um desequilíbrio do metabolismo. E sim, pode ser revertido. O Método DM2 trabalha em quatro frentes: desinflamar, desintoxicar o fígado e melhorar a circulação e suplementação própria do método. Tudo isso em doze semanas.",Resultado comprovado em exames,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
curiosidade,geral,Por que Metformina sozinha não resolve,"Seu pâncreas ainda funciona. Mas está inflamado, sobrecarregado e intoxicado. A diabetes tipo 2 não é uma sentença. É um desequilíbrio metabólico. O Método DM2 trabalha em quatro frentes: desinflamar, desintoxicar o fígado e melhorar a circulação e suplementação própria do método.",Protocolo de 12 semanas,Veja como funciona a remissão,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
curiosidade,geral,12 semanas. Um método. Resultado real.,"Semana 1-4: Desinflamação. O cansaço começa a diminuir. Semana 5-8: Circulação. Formigamentos e dores melhoram. Semana 9-12: Resultados nos exames. Glicada, triglicerídeos, colesterol. Não é promessa. É protocolo. Medido, acompanhado, comprovado nos seus exames.",Remissão da diabetes tipo 2,Comece suas 12 semanas,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
curiosidade,geral,Como funciona a remissão da diabetes?,"Semana 1-4: Desinflamação. O cansaço começa a diminuir. Semana 5-8: Circulação. Formigamentos e dores melhoram. Semana 9-12: Resultados nos exames. Não é promessa. É protocolo. Medido, acompanhado, comprovado nos seus exames.",Acompanhamento semanal,Descubra se o método é pra você,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
prova_social,geral,Mais de 50 unidades no Brasil,"""Eu vim buscar pra minha mãe. Quando vi o resultado dela, decidi fazer também. Em doze semanas, minhas tonteiras sumiram e finalmente estou perdendo peso."" — Luciana, paciente DM2. O Método DM2 tem mais de 50 unidades em dezessete estados.",50+ unidades no Brasil,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
prova_social,mulheres,Ela veio pela mãe. Ficou por ela.,"""Eu vim buscar pra minha mãe. Quando vi o resultado dela, decidi fazer também. Em doze semanas, minhas tonteiras sumiram e finalmente estou perdendo peso."" — Luciana, paciente DM2.",Protocolo de 12 semanas,Descubra se o método é pra você,https://elainecouti.github.io/dm2-mulheres/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
prova_social,mulheres,"""Meu marido perguntou o que mudou""","""Eu acordava cansada todo dia, achava que era normal. Na terceira semana do método, meu marido perguntou o que tinha mudado. Voltei a ter disposição pra viver."" — Shirley, paciente DM2 Vila Velha.",Remissão da diabetes tipo 2,Quero conhecer o método,https://elainecouti.github.io/dm2-mulheres/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
prova_social,geral,"""Voltei a ter disposição pra viver""","""Estava pedindo socorro. Depois de passar por vários médicos, encontrei o Método DM2. Em 15 dias, as dores nas pernas e o formigamento sumiram."" — Paciente DM2. Resultado não é promessa. É o que acontece quando você trata a causa.",Resultado comprovado em exames,Fale com um especialista DM2,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
prova_social,geral,Veja o que pacientes reais dizem,"""Estava pedindo socorro. Depois de passar por vários médicos, encontrei o Método DM2. Em 15 dias, as dores nas pernas e o formigamento sumiram. Estou com ânimo para sair de casa."" — Dona Efigênia, paciente DM2.",50+ unidades no Brasil,Quero conhecer o método,https://elainecouti.github.io/dm2-homens/?cidade={CIDADE}&utm_source=meta&utm_medium=cpc&utm_campaign={{campaign.name}}&utm_content={{ad.name}}&utm_term={{adset.name}}
